22:07:41.036 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 -0.01
22:07:41.043 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 -0.01
22:07:41.050 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.03 -0.01
22:07:41.057 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.04 0.00
22:07:41.065 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.04 0.00
22:07:41.071 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 -0.01
22:07:41.078 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.04 0.00
22:07:41.085 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.04 0.00
22:07:41.092 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.02
22:07:41.099 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.02
22:07:41.106 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.02 0.02
22:07:41.113 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 0.02
22:07:41.120 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.02
22:07:41.127 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:41.135 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.02
22:07:41.141 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 -0.01
22:07:41.148 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 -0.01
22:07:41.155 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 0.02
22:07:41.162 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 0.00
22:07:41.169 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.02 0.02
22:07:41.176 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.02 -0.01
22:07:41.183 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.00
22:07:41.190 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.03 0.03
22:07:41.197 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.00
22:07:41.204 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.04 0.00
22:07:41.211 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.05 0.00
22:07:41.219 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.05 0.00
22:07:41.225 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.04 0.00
22:07:41.233 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 -0.03
22:07:41.240 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.04 -0.01
22:07:41.246 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.04 0.00
22:07:41.253 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.00
22:07:41.261 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 -0.03
22:07:41.267 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 -0.05
